datetime,temperature,dew_point,air_pressure,wind_speed,max_gust,rainfall,sunshine_duration,relative_humidity
2025-08-20 00:00:00,16.8,12.5,1014.6,4.0,7.0,0.0,0.0,75
2025-08-20 01:00:00,17.1,12.7,1014.5,3.0,6.0,0.0,0.0,75
2025-08-20 02:00:00,17.3,12.9,1014.3,4.0,5.0,0.0,0.0,75
2025-08-20 03:00:00,17.0,12.6,1014.2,4.0,7.0,0.0,0.0,74
2025-08-20 04:00:00,16.8,11.3,1014.1,4.0,7.0,0.0,0.0,70
2025-08-20 05:00:00,16.7,11.1,1014.0,3.0,7.0,0.0,0.0,69
2025-08-20 06:00:00,16.5,11.8,1014.2,3.0,6.0,0.0,0.0,73
2025-08-20 07:00:00,17.2,11.4,1014.2,4.0,6.0,0.0,0.0,68
2025-08-20 08:00:00,17.9,10.5,1014.3,4.0,7.0,0.0,0.0,62
2025-08-20 09:00:00,19.1,11.0,1014.4,4.0,7.0,0.0,0.4,59
2025-08-20 10:00:00,20.0,10.7,1014.3,4.0,7.0,0.0,0.2,55
2025-08-20 11:00:00,22.0,11.7,1013.9,5.0,8.0,0.0,0.5,51
2025-08-20 12:00:00,21.6,12.3,1013.6,4.0,8.0,0.0,0.4,55
2025-08-20 13:00:00,22.9,12.5,1013.3,4.0,8.0,0.0,0.8,51
2025-08-20 14:00:00,23.0,12.0,1012.9,4.0,7.0,0.0,0.8,49
2025-08-20 15:00:00,23.4,12.4,1012.6,4.0,7.0,0.0,0.9,50
2025-08-20 16:00:00,23.8,13.1,1012.4,5.0,8.0,0.0,0.6,51
2025-08-20 17:00:00,22.8,11.7,1012.3,7.0,10.0,0.0,1.0,49
2025-08-20 18:00:00,20.9,9.7,1012.6,5.0,11.0,0.0,0.8,48
2025-08-20 19:00:00,19.4,9.4,1012.9,6.0,10.0,0.0,0.3,52
2025-08-20 20:00:00,18.2,10.5,1013.3,6.0,10.0,0.0,0.0,60
2025-08-20 21:00:00,17.3,11.4,1013.6,5.0,8.0,0.0,0.0,68
2025-08-20 22:00:00,16.8,11.7,1013.7,4.0,7.0,0.0,0.0,72
2025-08-20 23:00:00,16.1,11.9,1014.0,3.0,6.0,0.0,0.0,76
2025-08-21 00:00:00,15.8,12.1,1013.7,2.0,4.0,0.0,0.0,78
2025-08-21 01:00:00,14.6,11.9,1013.5,3.0,4.0,0.0,0.0,83
2025-08-21 02:00:00,14.6,11.8,1013.0,3.0,5.0,0.0,0.0,83
2025-08-21 03:00:00,14.4,12.0,1012.8,3.0,4.0,0.0,0.0,85
2025-08-21 04:00:00,14.2,12.2,1012.8,2.0,4.0,0.0,0.0,87
2025-08-21 05:00:00,14.9,12.5,1013.0,3.0,4.0,0.0,0.0,85
2025-08-21 06:00:00,16.8,12.6,1013.2,3.0,6.0,0.0,0.8,75
2025-08-21 07:00:00,17.8,11.9,1013.5,5.0,8.0,0.0,0.7,68
2025-08-21 08:00:00,19.3,11.8,1013.7,5.0,9.0,0.0,0.7,61
2025-08-21 09:00:00,19.2,10.4,1014.2,6.0,10.0,0.0,0.9,56
2025-08-21 10:00:00,20.0,10.2,1014.4,6.0,9.0,0.0,0.7,53
2025-08-21 11:00:00,19.0,11.1,1014.8,7.0,10.0,0.0,0.3,59
2025-08-21 12:00:00,20.8,11.1,1015.0,7.0,11.0,0.0,0.8,53
2025-08-21 13:00:00,19.7,9.7,1015.5,7.0,12.0,0.0,0.2,52
2025-08-21 14:00:00,19.7,8.6,1015.6,6.0,10.0,0.0,0.6,48
2025-08-21 15:00:00,18.7,8.5,1015.9,7.0,11.0,0.0,0.3,51
2025-08-21 16:00:00,18.2,8.0,1016.2,6.0,10.0,0.0,0.2,51
2025-08-21 17:00:00,17.3,7.9,1016.5,6.0,11.0,0.0,0.0,54
2025-08-21 18:00:00,16.9,7.2,1016.8,4.0,10.0,0.0,0.8,52
2025-08-21 19:00:00,16.5,9.3,1017.5,5.0,7.0,0.0,0.0,62
2025-08-21 20:00:00,15.8,9.1,1017.9,4.0,8.0,0.0,0.0,64
2025-08-21 21:00:00,15.2,9.3,1018.3,4.0,7.0,0.0,0.0,67
2025-08-21 22:00:00,15.7,8.3,1018.6,4.0,6.0,0.0,0.0,61
2025-08-21 23:00:00,15.0,9.5,1019.0,4.0,7.0,0.0,0.0,70
2025-08-22 00:00:00,15.4,8.4,1019.1,2.0,8.0,0.0,0.0,63
2025-08-22 01:00:00,15.3,9.3,1018.8,3.0,6.0,0.0,0.0,67
2025-08-22 02:00:00,15.3,9.6,1019.0,3.0,5.0,0.0,0.0,68
2025-08-22 03:00:00,15.0,10.4,1018.8,3.0,4.0,0.0,0.0,73
2025-08-22 04:00:00,14.9,9.4,1018.7,2.0,5.0,0.0,0.0,69
2025-08-22 05:00:00,14.4,9.6,1018.7,1.0,8.0,0.0,0.0,73
2025-08-22 06:00:00,15.1,9.9,1019.2,1.0,1.0,0.0,0.0,71
2025-08-22 07:00:00,14.7,11.3,1019.5,5.0,7.0,-0.1,0.0,80
2025-08-22 08:00:00,15.8,10.8,1019.8,4.0,7.0,0.1,0.2,72
2025-08-22 09:00:00,16.8,11.4,1020.1,3.0,7.0,0.0,0.0,70
2025-08-22 10:00:00,18.0,8.5,1020.0,6.0,9.0,0.0,0.5,53
